[0.11976594 0.16781613 0.7124179 ],[0.04925735 0.00233998 0.00025277],[0.13932083 0.00661847 0.00071493]
[0.0085222  0.00818693 0.9832909 ],[5.88515011e-02 1.20920081e-07 1.72669299e-07],[1.66457182e-01 3.42013636e-07 4.88382528e-07]
[0.86510766 0.01097431 0.12391805],[3.16359736e-06 4.60080076e-05 4.88999045e-02],[8.94800458e-06 1.30130297e-04 1.38309816e-01]
[0.05126375 0.01050532 0.9382309 ],[6.23308553e-02 6.39392367e-07 3.29713898e-07],[1.76298282e-01 1.80847471e-06 9.32571732e-07]
[0.10949986 0.03767679 0.8528234 ],[6.84827621e-02 1.66763132e-06 9.54891777e-07],[1.93698502e-01 4.71677365e-06 2.70084180e-06]
[0.04566465 0.03355123 0.9207842 ],[6.80594506e-02 4.34021291e-07 4.45873041e-07],[1.92501196e-01 1.22759759e-06 1.26111940e-06]
[0.08592915 0.08370076 0.8303701 ],[7.38620088e-02 3.54575567e-06 2.27653154e-06],[2.08913309e-01 1.00289115e-05 6.43900356e-06]
[0.03142482 0.05952306 0.9090521 ],[6.16615225e-02 1.20145626e-06 4.94553117e-06],[1.74405123e-01 3.39823147e-06 1.39880745e-05]
[0.10639309 0.03017843 0.86342853],[6.87031264e-02 4.70448555e-05 1.17236100e-05],[1.94321786e-01 1.33062945e-04 3.31593766e-05]
[0.01339591 0.021394   0.9652102 ],[6.50618764e-02 2.98809145e-07 3.50517232e-07],[1.84022776e-01 8.45159890e-07 9.91412446e-07]
[0.02618761 0.01572471 0.9580876 ],[6.09447925e-02 2.23473812e-07 3.79144590e-07],[1.72377904e-01 6.32079391e-07 1.07238284e-06]
[0.18483287 0.0173046  0.79786247],[3.17159973e-02 1.03305526e-03 3.00283396e-05],[8.97063869e-02 2.92192151e-03 8.49329701e-05]
[0.06846625 0.00757943 0.9239543 ],[5.84275918e-02 2.55350537e-06 5.90935661e-07],[1.65258185e-01 7.22240384e-06 1.67141845e-06]
[0.05237085 0.14980485 0.7978242 ],[7.66786777e-02 2.57743495e-05 6.88669693e-05],[2.16880052e-01 7.29008693e-05 1.94785204e-04]
[0.07322961 0.02427575 0.9024946 ],[7.48222163e-02 3.63800692e-06 2.45979815e-06],[2.11629186e-01 1.02898375e-05 6.95735982e-06]
[0.05800701 0.28567162 0.6563214 ],[0.03319696 0.00017138 0.00359267],[0.09389519 0.00048475 0.01016161]
[0.85452944 0.00240574 0.14306486],[0.0001319  0.01292379 0.01047002],[0.00037307 0.036554   0.02961368]
[0.1115416 0.0265765 0.8618819],[6.55184275e-02 1.91250805e-06 8.30407818e-07],[1.85314098e-01 5.40938965e-06 2.34874800e-06]
[0.02322037 0.0093593  0.96742034],[6.48218292e-02 2.56427780e-07 2.76351696e-07],[1.83343820e-01 7.25287290e-07 7.81640633e-07]
[0.02191431 0.37616923 0.60191643],[0.01394395 0.00025858 0.0145044 ],[0.03943945 0.00073139 0.04102463]
[0.07033841 0.11213472 0.8175269 ],[4.77316531e-02 3.49653816e-06 5.51187963e-05],[1.35005502e-01 9.88970338e-06 1.55899498e-04]
[0.02545127 0.02830867 0.94624   ],[6.15125292e-02 2.90991727e-07 1.98412535e-07],[1.73983706e-01 8.23048894e-07 5.61195395e-07]
[0.03514839 0.16051391 0.8043377 ],[6.50842973e-02 3.65458041e-06 1.54182329e-05],[1.84086192e-01 1.03367144e-05 4.36093480e-05]
[0.05176931 0.08875947 0.8594712 ],[5.27914527e-02 8.36801110e-06 9.17569942e-05],[1.49316777e-01 2.36683096e-05 2.59527971e-04]
[0.01698506 0.03129514 0.9517198 ],[6.61313965e-02 4.24277971e-07 5.63369601e-07],[1.87047836e-01 1.20003932e-06 1.59344986e-06]
[0.01830252 0.07853658 0.90316087],[2.42887215e-02 4.42324065e-05 2.22344491e-03],[0.06869888 0.00012511 0.00628885]
[0.01343712 0.04250545 0.9440574 ],[5.74163540e-02 2.58181403e-06 5.50578256e-07],[1.62397973e-01 7.30247283e-06 1.55727047e-06]
[0.02394939 0.33810082 0.6379498 ],[9.55562378e-05 1.58039128e-02 6.84969212e-03],[0.00027027 0.04470022 0.01937385]
[0.01952558 0.7367449  0.24372949],[0.00173553 0.00399338 0.08224758],[0.00490883 0.01129498 0.23263129]
[0.0498038  0.05137549 0.8988207 ],[6.43492382e-02 7.65042717e-07 1.93352698e-06],[1.82007131e-01 2.16386757e-06 5.46884017e-06]
[0.8566393  0.01396788 0.12939277],[6.04534673e-07 2.13643251e-06 6.03821734e-02],[1.70988227e-06 6.04274367e-06 1.70786577e-01]
[0.12704134 0.02745013 0.8455085 ],[0.02313682 0.00973332 0.0003423 ],[0.0654408  0.02753    0.00096818]
[0.02201688 0.05975318 0.91822994],[6.88188052e-02 7.35830028e-07 1.05505265e-06],[1.94648975e-01 2.08124161e-06 2.98413953e-06]
[0.04180923 0.04820608 0.90998477],[7.59226845e-02 1.73625574e-06 1.79974843e-06],[2.14741780e-01 4.91087284e-06 5.09045728e-06]
[0.00975449 0.01435826 0.9758873 ],[6.24232904e-02 2.80736290e-07 2.10385670e-07],[1.76559728e-01 7.94042139e-07 5.95060535e-07]
[0.0033152  0.35048324 0.6462016 ],[0.00656769 0.00037671 0.03277527],[0.01857624 0.0010655  0.09270247]
[0.02447679 0.01951005 0.95601326],[6.35486153e-02 1.97090336e-07 2.04001334e-07],[1.79742627e-01 5.57455652e-07 5.77002907e-07]
[0.15064648 0.03567071 0.8136828 ],[4.23207632e-02 2.84831442e-04 1.38727518e-05],[1.19701194e-01 8.05624976e-04 3.92380675e-05]
[0.1109309  0.08447262 0.8045964 ],[6.61854452e-02 5.48976700e-05 1.16893361e-05],[1.87200708e-01 1.55274059e-04 3.30624354e-05]
[0.14286213 0.00867266 0.84846514],[3.30635237e-02 5.72453941e-04 1.57397890e-05],[9.35177674e-02 1.61914426e-03 4.45188461e-05]
[0.04862827 0.1123661  0.8390056 ],[6.78545185e-02 2.56416542e-06 7.65411099e-06],[1.91921561e-01 7.25255502e-06 2.16490952e-05]
[0.12302026 0.1286148  0.7483649 ],[0.10076631 0.00067519 0.00061548],[0.28501017 0.00190972 0.00174084]
[0.06126497 0.10096639 0.8377687 ],[7.71005582e-02 9.17609671e-06 1.85458812e-05],[2.18073310e-01 2.59539208e-05 5.24556736e-05]
[0.06850556 0.10230854 0.82918584],[6.12109218e-02 9.45300998e-06 5.98803032e-05],[1.73130632e-01 2.67371498e-05 1.69367074e-04]
[0.00779369 0.0088447  0.98336166],[6.19194482e-02 1.46917161e-07 1.47390963e-07],[1.75134647e-01 4.15544483e-07 4.16884598e-07]
[0.0435441  0.17814766 0.7783083 ],[0.01615864 0.00012876 0.00801561],[0.04570352 0.00036419 0.02267157]
[0.02542062 0.01804115 0.95653826],[6.45668159e-02 2.98007053e-07 2.61054924e-07],[1.82622533e-01 8.42891232e-07 7.38374827e-07]
[0.03274275 0.03431015 0.9329471 ],[6.61773157e-02 1.35376457e-06 7.18211144e-07],[1.87177715e-01 3.82902442e-06 2.03140788e-06]
[0.02361799 0.20306976 0.7733123 ],[5.49941725e-02 9.91489826e-05 8.30191334e-04],[0.15554701 0.00028044 0.00234814]
[0.04898201 0.04653559 0.90448236],[6.41488661e-02 8.73085457e-06 2.22195577e-06],[1.81440393e-01 2.46945859e-05 6.28463998e-06]
[0.00953239 0.00822098 0.9822466 ],[5.96915381e-02 9.99587835e-08 1.01700750e-07],[1.68833165e-01 2.82726135e-07 2.87653159e-07]
[0.43899226 0.01574436 0.5452634 ],[0.00019549 0.01543962 0.01090651],[0.00055293 0.04366985 0.03084826]
[0.01459549 0.2887381  0.6966664 ],[0.00394501 0.00088611 0.06393083],[0.01115818 0.00250629 0.18082371]
[0.0644344  0.09567484 0.8398908 ],[6.65974090e-02 4.60827414e-06 1.80690353e-05],[1.88365918e-01 1.30341676e-05 5.11069494e-05]
[0.03330326 0.50675285 0.45994392],[0.00748221 0.00073795 0.04186949],[0.02116288 0.00208724 0.11842479]
[0.03629256 0.02632372 0.93738365],[6.15164356e-02 1.07945478e-06 4.34260819e-06],[1.73994755e-01 3.05315917e-06 1.22827508e-05]
[0.02186767 0.43949014 0.5386422 ],[0.00851582 0.0008082  0.03980151],[0.02408638 0.00228595 0.11257566]
[0.5311437  0.02976034 0.439096  ],[0.00040697 0.03062789 0.00765311],[0.00115109 0.08662876 0.02164626]
[0.01682974 0.0247629  0.95840734],[6.65619028e-02 4.69481372e-07 6.41170204e-07],[1.88265491e-01 1.32789385e-06 1.81350320e-06]
[0.04878749 0.22325683 0.7279557 ],[0.08224291 0.0044825  0.00207283],[0.23261809 0.01267843 0.00586285]
[0.07492801 0.07319142 0.8518806 ],[8.76545362e-02 4.75456159e-05 3.48032994e-05],[2.47924468e-01 1.34479310e-04 9.84385961e-05]
[0.5722015  0.02671756 0.40108097],[0.00073131 0.05068374 0.00543081],[0.00206847 0.14335528 0.01536064]
[0.10432421 0.03359069 0.86208504],[8.10090131e-02 1.31186114e-05 2.20039782e-05],[2.29128090e-01 3.71050363e-05 6.22366487e-05]
[0.20331217 0.02606916 0.7706187 ],[4.62633743e-02 5.16626558e-04 3.55550847e-05],[1.30852583e-01 1.46124057e-03 1.00564966e-04]
[0.07475834 0.08401665 0.8412251 ],[8.07804122e-02 5.33532755e-06 6.23119564e-06],[2.28481509e-01 1.50905852e-05 1.76244828e-05]
[0.01180572 0.01201391 0.9761804 ],[6.34040393e-02 5.39573785e-07 3.29812355e-07],[1.79333705e-01 1.52614513e-06 9.32850212e-07]
[0.22614639 0.03332715 0.74052644],[0.05173878 0.00296195 0.00038092],[0.14633936 0.00837767 0.00107739]
[0.03201221 0.06710114 0.90088665],[6.79101066e-02 1.31277490e-06 2.96985609e-06],[1.92078787e-01 3.71308813e-06 8.40002152e-06]
[0.15561555 0.0544961  0.7898884 ],[0.09230549 0.00023177 0.00016539],[0.26107935 0.00065554 0.00046779]
[0.00819359 0.00377688 0.9880294 ],[5.92165102e-02 1.06301679e-07 1.19976371e-07],[1.67489584e-01 3.00666553e-07 3.39344422e-07]
[0.11542813 0.02246715 0.8621047 ],[6.68913714e-02 9.26483275e-07 5.90968055e-07],[1.89197369e-01 2.62049042e-06 1.67151008e-06]
[0.0236105  0.03334632 0.94304323],[6.63943027e-02 4.62159721e-07 6.38403853e-07],[1.87791447e-01 1.30718509e-06 1.80567878e-06]
[0.03974591 0.01698193 0.9432722 ],[6.35421955e-02 3.44835344e-07 5.74200185e-07],[1.79724469e-01 9.75341640e-07 1.62408338e-06]
[0.38201997 0.05083995 0.5671401 ],[0.01446419 0.05034684 0.0026622 ],[0.0409109  0.14240236 0.00752985]
[0.05607532 0.02228642 0.9216383 ],[6.32696522e-02 3.01250110e-06 9.73721959e-07],[1.78953600e-01 8.52063982e-06 2.75410160e-06]
[0.00399085 0.01838287 0.97762626],[5.91601367e-02 9.03407761e-08 9.17644763e-08],[1.67330135e-01 2.55522301e-07 2.59549134e-07]
[0.01595556 0.08112337 0.90292114],[4.90756962e-02 4.32979471e-06 6.16496265e-05],[1.38807030e-01 1.22465088e-05 1.74371476e-04]
[0.1347205 0.0155734 0.8497061],[5.67103763e-02 2.69015148e-05 3.35857733e-06],[1.60401166e-01 7.60889741e-05 9.49949122e-06]
[0.4578813  0.01648011 0.5256386 ],[0.00624996 0.03409961 0.0003811 ],[0.01767755 0.09644826 0.00107792]
[0.05810285 0.05374255 0.8881545 ],[8.21718566e-02 1.77577082e-05 1.19960154e-05],[2.32417108e-01 5.02263835e-05 3.39298554e-05]
[0.01016279 0.02143043 0.9684068 ],[6.29374732e-02 1.73537372e-07 1.73196833e-07],[1.78014056e-01 4.90837809e-07 4.89874621e-07]
[0.01728524 0.03411296 0.9486018 ],[6.17153346e-02 9.75542087e-07 4.11479720e-07],[1.74557326e-01 2.75924970e-06 1.16384040e-06]
[0.08603632 0.58140427 0.33255938],[2.10021656e-05 4.38494943e-02 3.78963933e-04],[5.94030948e-05 1.24025099e-01 1.07187187e-03]
[0.04033799 0.05079345 0.9088685 ],[7.33723271e-02 1.14222377e-05 4.98263985e-06],[2.07528280e-01 3.23069669e-05 1.40930337e-05]
[0.08237316 0.05728704 0.86033976],[5.52779542e-02 3.98286093e-04 4.38673354e-05],[1.56349665e-01 1.12652319e-03 1.24075561e-04]
[0.03673809 0.01326666 0.9499952 ],[6.16449925e-02 2.67442493e-07 1.91183907e-07],[1.74358369e-01 7.56441602e-07 5.40749750e-07]
[0.03656669 0.07753523 0.8858981 ],[7.05148344e-02 5.86685919e-06 2.54376161e-06],[1.99446070e-01 1.65939837e-05 7.19484433e-06]
[0.05962398 0.01861402 0.92176205],[6.94165793e-02 8.32305285e-07 6.69982338e-07],[1.96339736e-01 2.35411485e-06 1.89499622e-06]
[0.19221905 0.19552793 0.612253  ],[0.03964483 0.00051671 0.00606957],[0.11213251 0.00146148 0.01716733]
[0.01069529 0.01712246 0.97218215],[6.00681632e-02 1.47707446e-07 2.09607772e-07],[1.69898422e-01 4.17779748e-07 5.92860309e-07]
[0.06350165 0.8516667  0.08483162],[5.29606346e-07 6.52132945e-02 9.45714425e-07],[1.49795295e-06 1.84451051e-01 2.67488433e-06]
